Provider,Storage_Needs,Supports_Encryption,CPU_Speed,Price_Per_Hour,Service_Model_Score,Activity_Field
Azure,1513.5,1,4.5,2.9,5,Bank
Azure,819.0,1,5.0,2.5,4,Bank
Private Cloud,1684.0,0,3.8,7.3,3,Development
AWS,2000.0,1,3.1,3.5,5,Medicine
Private Cloud,2000.0,1,3.0,3.5,4,IT
AWS,984.2,1,4.3,2.0,5,IT
AWS,256.0,1,3.0,6.4,2,Other
Private Cloud,1021.4,1,3.1,1.9,5,Other
AWS,800.0,1,5.0,2.0,5,IT
AWS,641.0,0,3.2,6.7,3,IT
Google Cloud,826.5,1,3.0,2.6,5,Other
Google Cloud,2000.0,1,5.0,3.5,4,Bank
AWS,2000.0,1,3.5,3.5,4,Education
AWS,1301.5,1,4.6,2.8,5,Education
Google Cloud,1305.5,1,5.0,3.4,4,IT
AWS,2000.0,1,3.0,3.1,4,Development
Google Cloud,823.0,0,2.4,6.5,3,Development
Private Cloud,1914.3,1,5.0,1.7,5,IT
Azure,2000.0,1,3.5,3.0,4,IT
Azure,2000.0,1,4.1,2.9,4,IT
AWS,1644.2,1,5.0,1.4,4,Telecom
Private Cloud,824.0,1,3.9,3.4,4,Telecom
Private Cloud,871.6,1,3.0,1.8,4,Education
Google Cloud,2000.0,1,4.1,2.1,5,IT
Azure,2000.0,1,3.0,3.4,5,Education
Private Cloud,2000.0,1,4.3,1.6,4,IT
Azure,1059.0,1,3.8,6.7,1,Education
Azure,2000.0,1,3.0,2.4,4,IT
AWS,1013.9,1,4.6,2.1,4,Development
Google Cloud,2000.0,1,5.0,2.9,4,Education
Google Cloud,509.0,1,3.9,7.5,1,Medicine
Google Cloud,1206.0,1,3.7,3.5,4,Other
Google Cloud,2000.0,1,3.0,3.5,5,IT
Azure,2000.0,1,3.0,3.4,5,Education
AWS,1515.4,1,4.4,2.2,4,Bank
Google Cloud,1347.5,1,4.2,3.5,4,IT
Google Cloud,2000.0,1,3.7,3.5,5,IT
AWS,336.0,0,2.4,6.3,2,Education
Google Cloud,800.0,1,3.1,1.9,4,Telecom
AWS,2000.0,1,3.2,3.0,5,Education
Azure,972.7,1,5.0,2.5,5,Education
Azure,307.0,0,3.3,7.4,3,Education
Azure,1339.4,1,3.1,1.4,5,Bank
AWS,366.0,1,4.0,6.1,1,Medicine
Google Cloud,1453.4,1,4.8,1.7,4,Education
Google Cloud,324.0,0,2.6,7.1,2,Telecom
Azure,2000.0,1,3.2,3.5,5,Education
Private Cloud,800.0,1,4.7,2.8,4,IT
Azure,568.0,1,3.8,6.1,1,Telecom
Private Cloud,1031.0,1,3.0,3.3,5,Medicine
AWS,800.0,1,5.0,2.8,4,IT
